ROUTEVIEWS_COLLECTOR|AS_NUMBER|PEERING_ADDRESS|PREFIXES|CC|REGION|ASNAME
decix.jhb.routeviews.org|38175|103.119.232.252|485|MY|apnic |DCMSB-AS-AP DE CIX MALAYSIA SDN. BHD., MY
decix.jhb.routeviews.org|38175|103.119.233.252|485|MY|apnic |DCMSB-AS-AP DE CIX MALAYSIA SDN. BHD., MY
decix.jhb.routeviews.org|38194|103.119.234.252|106230|MY|apnic |DECIX-KUL-AS DE-CIX Kuala Lumpur Route Servers, MY
decix.jhb.routeviews.org|38194|103.119.234.253|106222|MY|apnic |DECIX-KUL-AS DE-CIX Kuala Lumpur Route Servers, MY
decix.jhb.routeviews.org|38137|103.162.254.252|117147|SG|apnic |DECIXASIAPTELTD-AS-SG DE-CIX ASIA PTE LTD, SG
decix.jhb.routeviews.org|38137|103.162.254.253|117139|SG|apnic |DECIXASIAPTELTD-AS-SG DE-CIX ASIA PTE LTD, SG
decix.jhb.routeviews.org|38137|2001:df6:480::94f9:a:1|47608|SG|apnic |DECIXASIAPTELTD-AS-SG DE-CIX ASIA PTE LTD, SG
decix.jhb.routeviews.org|38137|2001:df6:480::94f9:a:2|47595|SG|apnic |DECIXASIAPTELTD-AS-SG DE-CIX ASIA PTE LTD, SG
decix.jhb.routeviews.org|38175|2403:4ac0::951f:a:1|102|MY|apnic |DCMSB-AS-AP DE CIX MALAYSIA SDN. BHD., MY
decix.jhb.routeviews.org|38175|2403:4ac0::951f:a:2|102|MY|apnic |DCMSB-AS-AP DE CIX MALAYSIA SDN. BHD., MY
decix.jhb.routeviews.org|38194|2403:4ac0:1::9532:a:1|47014|MY|apnic |DECIX-KUL-AS DE-CIX Kuala Lumpur Route Servers, MY
decix.jhb.routeviews.org|38194|2403:4ac0:1::9532:a:2|47001|MY|apnic |DECIX-KUL-AS DE-CIX Kuala Lumpur Route Servers, MY
route-views.bknix.routeviews.org|63528|203.159.68.1|3|TH|apnic |BKNIX-AS-AP Bangkok Neutral Internet Exchange, TH
route-views.bknix.routeviews.org|63528|203.159.68.2|3|TH|apnic |BKNIX-AS-AP Bangkok Neutral Internet Exchange, TH
route-views.bknix.routeviews.org|63528|203.159.68.5|6|TH|apnic |BKNIX-AS-AP Bangkok Neutral Internet Exchange, TH
route-views.bknix.routeviews.org|132280|203.159.68.122|479|TH|apnic |SYMPHONY-AP-TH Symphony Communication Thailand PCL., TH
route-views.bknix.routeviews.org|16509|203.159.68.130|655|US|arin |AMAZON-02, US
route-views.bknix.routeviews.org|16509|203.159.68.131|655|US|arin |AMAZON-02, US
route-views.bknix.routeviews.org|63528|2001:deb:0:68::1|1|TH|apnic |BKNIX-AS-AP Bangkok Neutral Internet Exchange, TH
route-views.bknix.routeviews.org|63528|2001:deb:0:68::2|1|TH|apnic |BKNIX-AS-AP Bangkok Neutral Internet Exchange, TH
route-views.bknix.routeviews.org|63528|2001:deb:0:68::5|2|TH|apnic |BKNIX-AS-AP Bangkok Neutral Internet Exchange, TH
route-views.bknix.routeviews.org|132280|2001:deb:0:68::122|17|TH|apnic |SYMPHONY-AP-TH Symphony Communication Thailand PCL., TH
route-views.bknix.routeviews.org|16509|2001:deb:0:68::130|195|US|arin |AMAZON-02, US
