,RIR region,Location (country),Location (continent),Customer cone (#ASNs),Customer cone (#prefixes),Customer cone (#addresses),AS hegemony,Country influence (CTI origin),Country influence (CTI top),#neighbors (total),#neighbors (peers),#neighbors (customers),#neighbors (providers),#IXPs (PeeringDB),#facilities (PeeringDB),Peering policy (PeeringDB),Network type (PeeringDB),Traffic ratio (PeeringDB),Traffic volume (PeeringDB),Scope (PeeringDB),Personal ASN,ASDB C1L1,ASDB C1L2,list_name
rrc00,0.13608185392452674,0.4265120615105511,0.1248673184614323,0.14282647927186234,0.12027428694695447,0.11567075136318056,0.06886354723237055,0.065841771133593,0.26043887965814955,0.47780953742607574,0.5265174779162656,0.12526322435695156,0.13061423499437025,0.13577134422320217,0.11450017154865391,0.037099686133520826,0.20566973280465023,0.25375910129864404,0.24812091442574513,0.15944311890932536,0.02247923000701126,0.12629214595169766,0.02158223160752159,rrc00
rrc01,0.15995721578613986,0.496621652457719,0.16075095158078245,0.2883206819454122,0.426263136437169,0.5405776660473706,0.39979034613622344,0.10765426325918519,0.12899095862949872,0.9105032305321373,0.9219555329214815,0.23933943694980742,0.16814485760504505,0.42516064114093766,0.36093461607829336,0.09196627420717295,0.1957542855974356,0.3555932419757949,0.23384411932470084,0.12378374058306661,0.21538813486628117,0.3193421036402244,0.0074947851259099234,rrc01
rrc03,0.2182262745734466,0.4539678417982559,0.16803279776278923,0.1965306739345041,0.19342285944768822,0.29774147813880814,0.18261967763830983,0.11383705869365757,0.22334959772666102,0.7223476550610252,0.6824794206169159,0.1867663002842428,0.21298370717841814,0.48271512203607664,0.26513082448849123,0.0437273754674086,0.17635807057590086,0.2871154329093336,0.16922548229910767,0.14410994775221328,0.11734088616542769,0.3529971403825983,0.004739671499335668,rrc03
rrc04,0.5821744064679885,0.9267692171867759,0.6274925840260406,0.5403770857841563,0.726594553372911,0.8258770065836992,0.7726673292130416,0.61137942838291,0.7053932480217548,0.9571843092073323,0.9646284411899734,0.5604831240714108,0.5873505383381791,0.2808485276982434,0.21246188270842892,0.08552544218018635,0.358340319650557,0.41189629167264524,0.33272473381076095,0.39566504307522743,0.47071809792642527,0.48639964272609143,0.0074947851259099234,rrc04
rrc05,0.3516809706729377,0.6385408016551486,0.3819902854961844,0.2877495435643477,0.2932756211877569,0.4045087106644199,0.36933261898311354,0.39625421337620675,0.14804548499366516,0.8571566329032742,0.887289206705214,0.21731697790247181,0.29939573321350044,0.19158829614147066,0.1881003222962517,0.04860137588047279,0.22244483790124367,0.334578277377016,0.22920797347364186,0.18716537181211304,0.28715999565640726,0.289692487338925,0.0074947851259099234,rrc05
rrc06,0.15133824430962972,0.6484711567930985,0.13400444202946366,0.27779434268735875,0.2021408450424196,0.3787032255035917,0.20422637117294273,0.45482811055279765,0.5904513742894252,0.9174840713991078,0.9361310903716425,0.2955734203295238,0.8204054209467552,0.8391997121546477,0.13509441034489544,0.04942033501506595,0.4297202384212332,0.41189629167264524,0.6727662361556268,0.41664938399463236,0.5450103841022323,0.6117612463356611,0.0074947851259099234,rrc06
rrc07,0.18771598132553072,0.5764160338794344,0.21657925362575633,0.9170812489582508,0.8726603175988684,0.8359795730405074,0.5747131452648843,0.5511616194289461,0.2676271034539862,0.9550844773699156,0.939178969247821,0.5654871313540105,0.2400466193253368,0.6874276075675069,0.4959763679505455,0.20347920142778086,0.26155176250130263,0.41189629167264524,0.4055088795549866,0.12740051195853866,0.7035338713983793,0.24246296190469394,0.0074947851259099234,rrc07
rrc10,0.2693481336335106,0.7285351149372613,0.30470061655238734,0.13254006726452117,0.16931654895042067,0.4364304280572758,0.3931184296348182,0.18239854918779175,0.3526409242267014,0.6264851064801226,0.6222808603410065,0.09411940080564103,0.21786311419754653,0.29357121861655533,0.21049003992646526,0.048355147936182105,0.27546199145179306,0.36465643016096205,0.3160946439371957,0.17959662326795384,0.14872280504847857,0.40198353852515656,0.0074947851259099234,rrc10
rrc11,0.11360926338393565,0.5627763639520043,0.10390880952145824,0.4623369681634489,0.8804301217305173,0.8517002597854141,0.7971523853809603,0.3055660144773909,0.2700897098169228,0.9604162640405001,0.9436706434318489,0.41836849324565856,0.2875216876074137,0.564806880884209,0.5237619039864686,0.06765924296188167,0.2607562924126825,0.38982946246246974,0.684115534087485,0.1875448699135882,0.6653021475133112,0.7279268716477441,0.0074947851259099234,rrc11
rrc12,0.2222431781263146,0.4720482532850563,0.20120822920753031,0.3225487241113384,0.4461409771582591,0.5455946707670607,0.3435740906389657,0.1269548237094987,0.1612694681437213,0.8272141396410503,0.8165125845110542,0.28482373100332053,0.24867433227921903,0.382415708277988,0.22084335186644627,0.06527770180929321,0.23575550800098177,0.29127898838263927,0.2589136645467823,0.17810626199758364,0.28054721629722335,0.3225805614796731,0.0020770300731665684,rrc12
rrc13,0.20962108250821207,0.6702780205844623,0.21200756083423322,0.5164352824808727,0.5631986193998647,0.6899062186234297,0.5668411338755324,0.6902732842826271,0.46357584097522647,0.8733823354953928,0.8944734032034144,0.5099095243576072,0.26310861355944015,0.3772072298962776,0.40498365138727427,0.09570295125727687,0.3287347020150552,0.3676604293064502,0.3782222237667005,0.17167725602063783,0.685869250842595,0.26087782910831225,0.0074947851259099234,rrc13
rrc14,0.13704515997380212,0.6134756864642489,0.12608102941880822,0.4131777474445166,0.6605306657820891,0.7822230186689318,0.722536771389067,0.4277411770269681,0.29925716995462476,0.9162905508688557,0.9395161513762593,0.32047246090386533,0.3228184932441926,0.47137143115844105,0.48236093232201865,0.15350658587606522,0.28565337716710487,0.3966753764708845,0.4705245224389847,0.3687305333266338,0.6025623816560566,0.574362956454448,0.0074947851259099234,rrc14
rrc15,0.18406908037086894,0.5966903838352905,0.21646486505485643,0.28263987686244985,0.6126458661556301,0.5402993452271122,0.30430260922572033,0.12755021620914928,0.1801307909444977,0.655655444951449,0.6604238301474052,0.2800059034657653,0.47741776569734684,0.21649701794982967,0.16955082420617928,0.058483019324464605,0.2694056394259271,0.3216510662549703,0.22438885889651453,0.2986543917963037,0.32403905214305945,0.49524363327402016,0.0074947851259099234,rrc15
rrc16,0.25411650093435173,0.6664144331458373,0.27176608001899927,0.9281845748228563,0.9377758588299878,0.9242690753235271,0.7934262270927851,0.3020145949406306,0.3371842165748108,0.9555117799827962,0.9346381998202031,0.3946393949511789,0.5174424129375014,0.42632654977529433,0.8373391097720674,0.14164029056556526,0.22994747590722478,0.35581885979673383,0.45899506509619936,0.3936491562015932,0.7906635548887948,0.5787746430296026,0.0074947851259099234,rrc16
rrc18,0.38234425784658965,0.7287697033955449,0.4160093477598743,0.3241473918892597,0.2785853144118695,0.3707162114165937,0.47187742955745754,0.3929754769563321,0.4131500335902688,0.43450300739884096,0.2976387632186029,0.20242163788119436,0.2797075207758588,0.22114829773113917,0.080932798921507,0.030755627151621154,0.3138036589977126,0.33200584976807196,0.17809780861794677,0.3541412352473231,0.25382398414376517,0.4717453330892385,0.0074947851259099234,rrc18
